港闽频代,#genre#
Plus综合频代,http://aktv.top/AKTV/live/aktv/tvbplus/AKTV.m3u8
pₒₚc电影频代,http://aktv.top/AKTV/live/aktv/popc/AKTV.m3u8
凤凰中文频代,http://aktv.top/AKTV/live/aktv/null-3/AKTV.m3u8
凤凰资讯频代,http://aktv.top/AKTV/live/aktv/null-4/AKTV.m3u8
凤凰香港频代,http://aktv.top/AKTV/live/aktv/null-5/AKTV.m3u8
中天新闻频代,http://aktv.top/AKTV/live/aktv/null-8/AKTV.m3u8
TVB新闻频代,http://aktv.top/AKTV/live/aktv/null-1/AKTV.m3u8
TVB翡翠频代,http://aktv.top/AKTV/live/aktv/null/AKTV.m3u8
TVB明珠频代,http://aktv.top/AKTV/live/aktv/null-2/AKTV.m3u8
TVB赛马频代,http://aktv.top/AKTV/live/aktv/mytvsuper18/AKTV.m3u8
TVB亚洲剧集,http://aktv.top/AKTV/live/aktv/null-7/AKTV.m3u8
TVB翡翠剧集,http://aktv.top/AKTV/live/aktv/null-18/AKTV.m3u8
TVB明珠剧集,http://aktv.top/AKTV/live/aktv/null-19/AKTV.m3u8
TVBJ1综合美,http://aktv.top/AKTV/live/aktv/null-17/AKTV.m3u8
TVB新闻频美,http://aktv.top/AKTV/live/aktv/null-20/AKTV.m3u8
tvbs新闻频代,http://aktv.top/AKTV/live/aktv/tvbs-1/AKTV.m3u8
tvbs闽南频代,http://aktv.top/AKTV/live/aktv/tvbs/AKTV.m3u8
三立新闻频代,http://aktv.top/AKTV/live/aktv/null-14/AKTV.m3u8
三立综合频代,http://aktv.top/AKTV/live/aktv/null-13/AKTV.m3u8
中视闽南频代,http://aktv.top/AKTV/live/aktv/null-10/AKTV.m3u8
华视闽南频代,http://aktv.top/AKTV/live/aktv/null-11/AKTV.m3u8
中天亚洲频代,http://aktv.top/AKTV/live/aktv/null-12/AKTV.m3u8
靖天电影频代,http://aktv.top/AKTV/live/aktv/null-6/AKTV.m3u8
中天亚洲台,http://aktv.top/AKTV/live/aktv/null-12/AKTV.m3u8
中视,http://aktv.top/AKTV/live/aktv/null-10/AKTV.m3u8
千禧经典台,http://aktv.top/AKTV/live/aktv/null-15/AKTV.m3u8
娱乐新闻台(HK),http://aktv.top/AKTV/live/aktv/hk/AKTV.m3u8
寰宇新闻台,http://aktv.top/AKTV/live/aktv/null-9/AKTV.m3u8
明珠剧集台(北美),http://aktv.top/AKTV/live/aktv/null-19/AKTV.m3u8
明珠台,http://aktv.top/AKTV/live/aktv/null-2/AKTV.m3u8
无线新闻台,http://aktv.top/AKTV/live/aktv/null-1/AKTV.m3u8
美亚电影台(HK),http://aktv.top/AKTV/live/aktv/hk-1/AKTV.m3u8
翡翠剧集台(北美),http://aktv.top/AKTV/live/aktv/null-18/AKTV.m3u8
翡翠台,http://aktv.top/AKTV/live/aktv/null/AKTV.m3u8
翡翠综合台(北美),http://aktv.top/AKTV/live/aktv/null-17/AKTV.m3u8
华视,http://aktv.top/AKTV/live/aktv/null-11/AKTV.m3u8
黄金翡翠台,http://aktv.top/AKTV/live/aktv/null-21/AKTV.m3u8
龙华日韩台,http://aktv.top/AKTV/live/aktv/null-22/AKTV.m3u8
龙华经典台,http://aktv.top/AKTV/live/aktv/null-7/AKTV.m3u8
龙华电影台,http://aktv.top/AKTV/live/aktv/null-23/AKTV.m3u8
Now星影台,http://aktv.top/AKTV/live/aktv2/now/AKTV.m3u8
TVB 星河台,http://aktv.top/AKTV/live/aktv2/tvb/AKTV.m3u8
viutv 99,http://aktv.top/AKTV/live/aktv2/viutv99/AKTV.m3u8
viutv6 96,http://aktv.top/AKTV/live/aktv2/viutv696/AKTV.m3u8
无线新闻台(北美),http://aktv.top/AKTV/live/aktv2/null-1/AKTV.m3u8
爆谷台,http://aktv.top/AKTV/live/aktv2/null/AKTV.m3u8
亚洲新闻台,http://aktv.top/AKTV/live/aktv3/null-3/AKTV.m3u8
东方卫视国际频道,http://aktv.top/AKTV/live/aktv3/null/AKTV.m3u8
无线卫星新闻台,http://aktv.top/AKTV/live/aktv3/null-2/AKTV.m3u8
神州新闻台,http://aktv.top/AKTV/live/aktv3/null-1/AKTV.m3u8
粤港澳闽,#genre#
凤凰卫视频道,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯频道,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰香港频备,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
香港卫视频道,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
星空卫视频道,http://122.224.58.42:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
中天新闻频道,http://litv.zapi.us.kg/?id=4gtv-4gtv009
无线新闻频道,http://cdn9.1689.us.kg/smt1.1.php?id=inews_twn
无线新闻频道,http://aktv.top/AKTV/live/aktv/null-1/AKTV.m3u8
无线新闻频道,http://zsntlqj.xicp.net:8896/bysid/83.m3u8
无线翡翠频道,http://cdn9.1689.us.kg/smt1.1.php?id=jade_twn
无线翡翠频道,http://php.jdshipin.com/smt.php?id=jade_twn
无线翡翠频道,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
无线华丽频道,http://cdn9.1689.us.kg/smt1.1.php?id=Tvbjade
无线华丽频道,http://php.jdshipin.com/smt.php?id=Tvbjade
无线华丽频道,http://php.jdshipin.com:8880/TVOD/iptv.php?id=huali
无线星河频道,http://php.jdshipin.com/smt.php?id=Xinhe
无线星河频道,http://php.jdshipin.com:8880/TVOD/iptv.php?id=xinghe
千禧经典频道,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbc
千禧经典频道,http://cdn9.1689.us.kg/smt1.1.php?id=Tvbclassic
千禧经典频道,http://php.jdshipin.com/smt.php?id=zhujiang
美亚电影频粤,http://php.jdshipin.com:8880/TVOD/iptv.php?id=meiya
重温经典频道,http://php.jdshipin.com:8880/TVOD/iptv.php?id=cwjd
Astr剧集频道,http://php.jdshipin.com:8880/TVOD/iptv.php?id=aod
动作电影频道,http://php.jdshipin.com:8880/TVOD/iptv.php?id=chcdzdy
家庭影院频道,http://php.jdshipin.com:8880/TVOD/iptv.php?id=chcjtyy
高清电影频道,http://php.jdshipin.com:8880/TVOD/iptv.php?id=chcymdy
RTHK-31频陆,p3p://108.181.32.169:32739/64101f330006ab429853d45f7940453b
RTHK-32频陆,p3p://108.181.32.169:32739/641020b00001b8599859a360613572d7
RTHK-33频道,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream04/streamPlaylist.m3u8
RTHK-34频道,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream04/streamPlaylist.m3u8
RTHK-35频道,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
香港面包频道,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
香港_C+_频道,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
澳门莲花频道,http://php.jdshipin.com:8880/amlh.php
澳视澳门频道,http://grandprix2023.asuscomm.com:8891/bysid/91.m3u8
澳视葡语频道,http://grandprix2023.asuscomm.com:8891/bysid/92.m3u8
澳门资讯频道,http://grandprix2023.asuscomm.com:8891/bysid/94.m3u8
澳门mac频道,http://grandprix2023.asuscomm.com:8891/bysid/96.m3u8
重温经典频道,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
民视闽南频道,rtmp://f13h.mine.nu/sat/tv051
中视闽南频道,rtmp://f13h.mine.nu/sat/tv091
华视闽南频道,rtmp://f13h.mine.nu/sat/tv111
台视闽南频道,rtmp://f13h.mine.nu/sat/tv071
东森超视频道,rtmp://f13h.mine.nu/sat/tv331
环球电视频道,http://zb.xzxwhcb.com:9999/hls/world.m3u8
Astv亚洲卫视,https://play-hsbj.vzan.com/slowlive/821481626725612417/live.m3u8
GBN新闻频英,http://103.193.151.158:8500/live.m3u8?c=18
NHK新闻频英,http://61.221.215.25:8800/hls/51/index.m3u8
tvbs闽南频特,http://61.221.215.25:8800/hls/9/index.m3u8
三立戏剧频特,http://61.221.215.25:8800/hls/41/index.m3u8
八大戏剧频特,http://61.221.215.25:8800/hls/39/index.m3u8
八大第一频特,http://61.221.215.25:8800/hls/55/index.m3u8
八大综合频特,http://61.221.215.25:8800/hls/56/index.m3u8
中天娱乐频特,http://61.221.215.25:8800/hls/47/index.m3u8
纬来精彩频特,http://61.221.215.25:8800/hls/48/index.m3u8
动物星球频国,http://61.221.215.25:8800/hls/57/index.m3u8
纬来育乐频特,rtmp://f13h.mine.nu/sat/tv701
纬来日本频特,rtmp://f13h.mine.nu/sat/tv771
纬来体育频特,rtmp://f13h.mine.nu/sat/tv721
DAZN体育壹,rtmp://f13h.mine.nu/sat/tv731
DAZN体育贰,rtmp://f13h.mine.nu/sat/tv741
momotv频特,rtmp://f13h.mine.nu/sat/tv761
体育频道,#genre#
纬来篮球,rtmp://f13h.mine.nu/sat/tv721 
BILLIARD TV 台球,https://d35j504z0x2vu2.cloudfront.net/v1/master/0bc8e8376bd8417a1b6761138aa41c26c7309312/billiard-tv/BILLIARDTV_SCTE.m3u8
智林体育台,https://litv.zapi.us.kg/?id=4gtv-4gtv101
台湾体育1,rtmp://60.248.77.83/sat/md011
台湾体育2,rtmp://60.248.77.83/sat/md051
台湾体育3,rtmp://60.248.77.83/sat/md021
台湾体育4,rtmp://60.248.77.83/sat/md041
台湾体育5,rtmp://60.248.77.83/sat/md031
ELEVEN1,rtmp://60.248.77.83/sat/tv731
ELEVEN2,rtmp://60.248.77.83/sat/tv741
MoMo综合,rtmp://60.248.77.83/sat/tv761
CCTV-高尔夫网球,http://xuys.top:8888/udp/225.1.2.169:5002
CCTV5+-HEVC-AAC[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.1.18:4056
CCTV5+[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.101:4056
CCTV5-HEVC-AAC[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.1.6:4056
CCTV5体育[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.133:4056
红牛运动,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_1660.m3u8#http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_1660.m3u8
美国摔跤,https://d2p372oxiwmcn1.cloudfront.net/hls/main.m3u8
五星体育,http://[2409:8087:5e08:24::15]:6610/000000001000/2000000002000000007/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000007&IASHttpSessionId=OTT19594820240419041339000523
五星体育,http://[2409:8087:5e08:24::15]:6610/000000001000/2000000002000000007/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000007&IASHttpSessionId=OTT
五星体育,http://[2409:8087:5e08:24::14]:6610/000000001000/5000000010000017540/1.m3u8?channel-id=bestzb&Contentid=5000000010000017540&livemode=1&stbId=3&HlsProfileId=
CCTV-05,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV+5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
劲爆体育,http://wuyuanlongguo186.asuscomm.com:20000/stream/channelid/219803349?profile=pass
先锋乒羽,http://117.190.144.101:9901/tsfile/live/0112_1.m3u8
先锋乒羽,http://wuyuanlongguo186.asuscomm.com:20000/stream/channelid/679528097?profile=pass
新视觉台,http://lnsec.6655.la:9001/stream/channel/8ac6b15fabd7be36958c6871e48ba1be?profile=webtv-h264-aac-matroska
风云足球,http://120.7.30.152:2024/live/风云足球/index.m3u8
